CQI,MCS,BRATE(DW),BLER(DW),SNR,PHR,BLER(UP),BRATE(UP),CLASS
15.0,26.4,1150000.0,1.2,19.2,24.8,14.1,219,1920
15.0,26.8,2110000.0,0,19.2,24.2,14.0,363,1920
15.0,26.2,1300000.0,0,19.0,25.5,14.3,380,1920
15.0,25.3,455999.04,0,19.2,24.0,14.9,200,1920
15.0,25.7,1130000.0,0,19.1,24.6,14.3,251,1920
15.0,25.9,295000.0,0,18.7,24.0,13.7,63.4,1920
15.0,25.6,756000.0,0,18.9,23.3,13.7,255,1920
15.0,25.5,1230000.0,0,18.7,23.8,14.3,292,1920
15.0,25.7,1060000.0,1.5,19.0,24.3,13.4,218,1920
14.9,25.8,797000.0,0,16.9,24.3,12.7,179,1920
15.0,25.8,1440000.0,1.6,19.1,24.1,14.1,296,1920
14.9,26.3,2039999.0,2.0,20.0,23.4,14.5,350,1920
15.0,25.4,714000.0,0,19.4,23.6,13.9,179,1920
14.9,26.4,1650000.0,0,19.1,23.8,14.3,275,1920
15.0,26.8,2350000.0,2.3,18.7,25.4,13.4,338,1920
15.0,26.0,693000.0,2.8,19.4,23.3,14.2,145,1920
15.0,26.7,2300000.0,2.7,19.5,24.1,14.0,331,1920
15.0,26.4,243000.0,0,20.0,23.3,14.6,57.1,1920
15.0,26.6,1920000.0,0,19.0,23.7,14.1,335,1920
15.0,26.8,1280000.0,1.9,18.8,23.9,14.1,180,1920
14.8,25.9,1030000.0,5.6,18.2,23.7,13.6,211,1920
14.7,26.4,2210000.0,6.4,18.7,24.3,13.5,342,1920
15.0,26.5,1770000.0,1.6,20.2,23.9,14.3,283,1920
15.0,26.8,1590000.0,5.1,20.0,24.0,13.8,206,1920
15.0,25.8,1050000.0,0,20.1,24.0,14.7,274,1920
15.0,25.2,864000.0,0,19.9,23.6,14.3,211,1920
15.0,25.9,1430000.0,0,20.0,23.1,14.3,280,1920
14.8,26.5,1700000.0,4.6,20.5,23.4,14.2,259,1920
14.8,25.7,1030000.0,2.6,19.8,24.1,14.2,210,1920
14.5,25.8,1989999.0,4.3,19.9,23.9,14.5,318,1920
14.5,26.3,631000.0,0,20.4,25.3,13.5,116,1920
15.0,26.4,1290000.0,0,19.3,25.2,14.1,216,1920
14.8,26.7,2370000.0,5.1,19.1,25.2,13.5,333,1920
14.9,26.1,1080000.0,3.4,19.2,23.2,13.8,231,1920
15.0,25.1,434000.0,0,19.7,23.5,14.6,233,1920
15.0,25.8,992000.0,0,19.7,24.0,14.5,236,1920
15.0,24.2,209000.0,0,19.3,24.0,14.7,97.1,1920
15.0,25.1,463999.04,0,19.3,24.2,14.4,196,1920
15.0,25.1,511000.0,0,19.2,24.0,15.0,188,1920
15.0,25.7,1200000.0,0,18.9,24.5,13.8,281,1920
15.0,25.7,1060000.0,0,19.1,23.9,14.5,234,1920
15.0,26.4,1770000.0,0,18.9,24.6,13.7,321,1920
15.0,26.3,1290000.0,0,19.0,24.0,14.5,252,1920
15.0,26.6,1900000.0,0,18.9,24.0,14.3,321,1920
15.0,26.4,1810000.0,0,19.0,24.4,14.2,335,1920
15.0,26.7,2390000.0,0,19.1,24.2,14.1,388,1920
